NAC,name
ABR,Abristan
ACR,Acral
ADR,Adrait
AFL,Aflaria
AGL,Aglia
AGR,Agrington
APR,Aprana
ASH,Ashiunia
ASI,Aspington
ASM,Asmela
ASP,Aspil
ASS,Aspistan
ASU,Aspuaso
ATH,Athon
ATR,Atral
BAG,Bagrales
BLI,Bloi Skary
BLO,Bloadal
BLR,Bluyria
BLS,Bloys Shus
BLU,Blouce
BLV,Bloav Skeau
BLY,Blayv Plines
BRE,Brein Shington
BRI,Briow Swa
BUG,Buglieland
CES,Ceshatho
CHA,Chaej Chana
CHE,Cheip Grijan
CHO,Cheoz Blium
CHP,Choa Prar
CHY,Chayjan
CLE,Clef Flana
CLO,Cloesau
CLT,Cluoton
CLU,Cluis Skia
COD,Codria
COW,Cowhoinia
CRA,Crailor
CRI,Crien Drary
CRO,Croer Snington
CRY,Criyce
CUS,Cuscos
DRA,Draostein
DRI,Driyp Whines
DRO,Droil Chor
DRU,Druele
DRY,Dray Swaria
DUS,Duswuelor
EBR,Ebral
ECE,Echela
ECH,Echaria
ECL,Eclesh
ECO,Eclon
EDO,Edroeze
EDR,Edren
EFL,Eflus
EFR,Efrouca
EGL,Egleugua
EGR,Egria
EPL,Eplor
ESA,Esharia
ESE,Esnen
ESH,Eshana
ESK,Eskesh
ESN,Esnar
ESP,Espos
ESS,Eshasal
EST,Estyae
ESY,Eshyae
ETH,Ethad
ETR,Etril
FEC,Fechiudal
FEG,Feglen
FLA,Flayw Shye
FLI,Fliarhiel
FLU,Fluze
FOP,Foplor
FRI,Frusia
FRL,Fralor
FRO,Froaw Plistan
FRS,Frueles
FRU,Freudan
FRY,Froyc Plar
FUF,Fufril
GAC,Gacheyssau
GAS,Gashein
GAW,Gaswessau
GEB,Gebriarus
GLA,Glao Ston
GLE,Gliedor
GLI,Glia Crain
GLY,Gliay Praria
GOS,Gostauso
GRI,Grie Frua
GRO,Groador
GRU,Gruocor
HAF,Hafrington
HAS,Hasciarus
HAT,Hastrautan
HOT,Hotroland
HUB,Hubliaton
HUH,Hushuiji
HUS,Huscus
IAD,Iadreales
IAT,Iathye
IOS,Iostrington
IUF,Iufrington
JAB,Jablawana
JON,Josnen
JOS,Joskaria
KEG,Keglus
KOS,Kosmiuburg
LAS,Lastuesia
LED,Ledreau
LON,Losnana
LOS,Losmil
MAS,Mashoysil
MES,Mespana
MOS,Mosheau
NUD,Nudreyze
OBL,Oblus
OBR,Obrea
OCH,Ochax
OCR,Ocrax
OFL,Oflana
OFR,Ofrua
OGL,Oglium
OGR,Ograd
OSA,Oshana
OSH,Osha
OSK,Oskaria
OSU,Oshurg
OSW,Oswurg
OSY,Oshya
OTH,Othium
PAC,Paclijan
PAS,Pashines
PEG,Pegloland
PLA,Plaog Plela
PLE,Plecor
PLI,Pleina
PLO,Plaora
PLU,Pluibar
POS,Poswa
PRO,Proef Whua
PRU,Pruodan
PRY,Proym Stron
QAC,Qaclua
RES,Reshela
ROW,Rowhestan
SAG,Saglar
SCA,Scaeze
SCD,Scuydor
SCE,Scei Strar
SCG,Scagro
SCI,Sciow Grela
SCO,Scaop Strait
SCU,Scau Scela
SCY,Sceygro
SEF,Sefristan
SEG,Segliucor
SEL,Seglye
SHA,Shaoyae
SHI,Shionia
SHO,Shiov Strijan
SHS,Shoyy Swax
SHU,Shua Whon
SHY,Shoyd Frana
SKA,Skao Cha
SKE,Skeinia
SKI,Skiunia
SKO,Skeov Sheau
SKU,Skuag Shesh
SKV,Skuov Swurg
SMA,Smaele
SMO,Smoydal
SMU,Smautan
SNA,Snaod Grela
SNI,Sniustein
SOG,Sogloissau
SPI,Spionga
SPU,Spuiwana
STA,Sta Bristan
STE,Streistein
STG,Struy Grax
STI,Stiar Thua
STO,Staod Clington
STR,Straenga
STU,Striyrus
STY,Staynga
STZ,Struiz Whea
SWA,Swam Swistan
SWI,Swioc Flela
SWO,Swiop Thana
SWS,Swoas Whana
SWU,Swiusal
TAS,Tasciaque
TES,Tescouce
THA,Thae Flain
THE,Thebar
THO,Thoigro
TOT,Totrora
TRA,Traeyae
TRI,Trioca
TUC,Tuclye
TUS,Tustia
UCL,Uclua
UDR,Udrait
UFI,Ufrijan
UFR,Ufreau
UGL,Uglecor
UGO,Ugror
UGR,Ugren
UPL,Uplos
UPR,Uprait
UPY,Uplyae
USA,Usnaso
USH,Ushium
USK,Uskos
USN,Usna
USP,Uspal
UTH,Uthua
UWE,Uwhesh
UWH,Uwheau
VAC,Vaclana
VAD,Vadruotho
VAG,Vagleuce
VAS,Vashus
VOC,Vocraibia
VUP,Vupleossau
VUS,Vustein
WHA,Whaissau
WHE,Wheuw Snua
WHI,Whiar Prijan
WHJ,Wheyji
WHN,Whonia
WHO,Whiol Stor
WHS,Whaysia
WHY,Whay Prela
WOP,Woproudan
XAP,Xaplain
XED,Xedriuze
XEK,Xeskuequa
XES,Xescana
XUK,Xuskialand
XUS,Xushaoland
YUD,Yudren
ZEC,Zeclor
ZES,Zesceyrus
